	INDEX	PRE	KWIC	POST	FILE	GENRE	VERB_TYPE	POS	VERB_FORM	METAPHOR.MUSIC	MOTION_TYPE	Deictic	COMMENT	LEMMA
1005	4080	 m, Assistant Books Editor 3:58PM BST 03 Apr 2012  	Follow	   1,544 followers    5 Comments  Speaking t	TT261sr030412.txt	news	path	verb	imperative	no	NA	NA		follow
1	101	  String Quintet (Eb) 1795 33–86 197–240  Material 	approaching	  (67–76) shortened and recomposed  in 	BF06fall_horne_A.txt	aca	path	verb	ing	unclear	NA	NA	unclear	approach
1194	2426	 orchestral  textures and more solemn organ. There 	follows	  a lyrical operatic dialogue, Wagnerian in	Tempo09-63.249_266a_performance.txt	aca	path	verb	3_present	yes	translational	no		follow
1454	5	  bright heavens, on which no mortal eye intrudes, 	floats	  an isle ofcloud,woven from pure morningdew	BF07spring_waltz_A.txt	aca	manner	verb	3_present	L	NA	NA		float
1697	45	 gile  feeling that proves adaptable to both swift-	paced	  and leisurely music.   96 tempo   Haydn is	Tempo09-63.250_370a_CD.txt	aca	manner	ADJ	past_participle	yes	Self-contained	no	speed is motion	pace
1160	58	  on music derived from the main Andante theme, 	followed	  by a longer thematic paraphrase of the s	BF04fall_ong_A.txt	aca	path	verb	past_participle	yes	translational	no		follow
430	9	 fly regularized into two-measure sequential units 	ascending	  by step. in terms of the dynamic being 	BF04spring_knapp_A.txt	aca	path	verb	ing	yes	translational	no		ascend
1158	2745	  in Brahms’s melodic lines.32 These leaps are 	followed	  by what she terms ‘alternate melodic pat	19thMR09-6.2_3128a_A.txt	aca	path	verb	past_participle	yes	translational	no		follow
431	13	  than direct them back to the tonic by 	ascending	  forcefully to A; cf. ex.1, mm.7–12.)  	BF04spring_knapp_A.txt	aca	path	verb	ing	yes	translational	no		ascend
1952	30	  neat, four-bar close that, however, then 	staggers	  forward by two additional bars. The retu	19thMR09-6.2_3207a_CD.txt	aca	manner	verb	3_present	yes	translational	no		stagger
632	352	  musicological literature of the past six decades 	comes	  from the proemium of Johannes Tinctoris’s P	EMH10-29_Marsh_A.txt	aca	path	verb	3_present	no	NA	NA		come
2116	59	 ention  of the confidence of the beginning, while 	swirling	  glissandi point to overbearing disorient	Tempo09-63.248_175a_CD.txt	aca	manner	ADJ	ing	yes	Self-contained	no		swirl
2074	61	 Piano's clouds, arpeggiated chords that produce 	swirling	  harmonics for over an hour at a time 	search09-5_Holter.txt	aca	manner	ADJ	ing	yes	Self-contained	no		swirl
1602	47	  section  where the soprano, as in the opening, 	floats	  in again so lightly and ‘Distance blues be	Tempo09-63.247_59a_performance.txt	aca	manner	verb	3_present	yes	translational	no		float
881	458	  a melody are shown by the ascending and 	descending	  of the lines on the graph paper while 	Tempo10-64.251_33a.txt	aca	path	noun	ing	yes	translational	no		descend
2161	104	 for its  structure. Another motoric moto perpetuo 	swirled	  past in two minutes to usher in a 	Tempo09-63.248_151a_performance.txt	aca	manner	verb	past	yes	translational	yes		swirl
1980	25	  not been.3   These shorter works, displaying a 	staggering	  profusion of materials, expressive cha	Tempo09-63.250_370a_CD.txt	aca	manner	ADJ	ing	no	NA	NA		stagger
9	1288	  (with all of the ethical questions such an 	approach	  raises—at least for modern audiences) wi	SECM09-14.txt	aca	path	N	infinitive	no	NA	NA		approach
1085	2448	 ohn Cage  was, and remains, a seminal influence), 	following	  rather the path of an ethnomusicologist	Tempo09-63.250_370a_CD.txt	aca	path	verb	ing	no	NA	NA		follow
882	7	  in the sketches of a link between this 	descending	  scale and the accompaniment of the sec	BF03spring_russell_A.txt	aca	path	ADJ	ing	yes	translational	no		descend
432	15	  in the parallel section in the exposition, an 	ascending	  sequence completes a strong scalar asce	BF04spring_knapp_A.txt	aca	path	ADJ	ing	yes	translational	no		ascend
1494	63	  simply imagined into the role of a free-	floating	  signifier in the course of nineteenth-ce	19thMR10-7.1_1129a_A.txt	aca	manner	verb	ing	no	NA	NA		float
1495	51	 d Slow Music (1982)17 create dark tensions to the 	floating	  space and manifest Poole’s early integra	Tempo09-63.249_230a_A.txt	aca	manner	verb	ing	no	NA	NA		float
883	411	  to establish the key, traces a pattern of 	descending	  tenths, which then resolves through a 	MTO11_17.1_McCreless.txt	aca	path	ADJ	ing	yes	translational	no		descend
433	241	  J.S. Bach’s St. Matthew Passion, depicting 	ascending	  the mount Golgotha; the third movement 	Tempo09-63.248_114a_A.txt	aca	path	verb	ing	L				ascend
10	176	  interaction, Renaldi took a completely different 	approach	  to clothing Dante’s text in music. The 	EMH09-28_Newcomb_A.txt	aca	path	N	infinitive	no	NA	NA		approach
633	736	  keep the subject alive for some time to 	come	 - appropriate enough while the composer himse	MA04-23.1_55.txt	aca	path	verb	infinitive	no	NA	NA		come
821	570	 their names. Flowers are brought. The front cloth 	descends	 - but on it, the she-wolf is dead. 	IR1202es070207.txt	news	path	verb	3_present	L	NA	NA		descend
622	5925	  in full bloom. His Debussy, when it did 	come	 -- three of his Images and the quixotic L'	WP617various281105.txt	news	path	verb	infinitive	no	NA	NA	programme schedule	come
1067	3301	  to the fore in Ravel's Shéhérazade, which 	followed	 – a slow, meditative account of a work us	GLR562ta250811.txt	news	path	verb	past	no	NA	NA	programme schedule	follow
529	309	  Peewits – which owes a debt to The Lark 	Ascending	 – and fellow piper Fraser Fifield's Th	IR947CDag210510.txt	news	path	verb	ing	exclude			proper name	ascend
813	619	 , Weelkes's As Vesta was from Latmos Hill 	descending	 – and first-class contributions from le	TT988CDva211006.txt	news	path	verb	ing	L	NA	NA		descend
1690	68	 f the island in 1669. The attendant – albeit slow-	paced	 – development of the ionian islands was mani	19thMR11-8.1_05Xa_A.txt	aca	manner	ADJ	past_participle	no	NA	NA		pace
530	286	 hauntingly realised by the Philharmonia. The Lark 	Ascending	 – featuring the orchestra's leader, Zsol	GLR399mk310112.txt	news	path	verb	ing	exclude			proper name	ascend
595	312	 , we all descend – or rather the entire set 	ascends	 – to reveal the dingy backstage below st	IR1130es180608.txt	news	path	verb	3_present	L				ascend
201	523	 feisty portrayals from the singers. When Schicchi 	arrives	 — the veteran British baritone Thomas Alle	NYT525at080908.txt	news	path	verb	3_present	L	translational	NA		arrive
11	544	 erested in adopting a more dynamic and changeable 	approach	 ... [which] tries to give musical express	MA09-28.2:3_09.txt	aca	path	N	infinitive	no	NA	NA		approach
434	107	 , the latter is dual to the raised 6 in 	ascending	 'melodic' minor; see Ex. 4). Ex. 8b, whi	MA04-23.1_58.txt	aca	path	ADJ	ing	yes	translational	no		ascend
350	175	 , setting the stage for the first ic5 to 	arrive	 (0:00—0:12). The second (yellow) octatonic 	MTO09_15.1_Roeder4.txt	aca	path	verb	infinitive	yes	translational	yes		arrive
1461	158	  stave. But the high D was pushed, not 	floated	 (another tell-tale sign), and before we co	IR1158es310108.txt	news	manner	verb	past_participle	no	NA	NA	transitive	float
1203	550	  spatial analogy of the young girls emerging from 	go	̈ (background) to Bw (foreground) suggests that 	MA07-26.1:2_808.txt	aca	path	verb	infinitive	exclude	NA	NA	proper name	go
1797	306	  with an unerring feeling for the opera's 	pacing	 (crucially in the many accompanied recitati	TT1027CDva280505.txt	news	manner	N	ing	yes	Self-contained	no		pace
868	208	 mething astonishing happens: the Kopfton fails to 	descend	 (Ex. 5). Twice an upper neighbour on clari	MA05-24.3_14.txt	aca	path	verb	infinitive	yes	translational	no		descend
634	1083	  pianos will stay in circulation for years to 	come	 (in addition to those which are still manufac	MPR0903_Aho.txt	aca	path	verb	infinitive	no	NA	NA		come
435	134	  the order of these integers is no longer 	ascending	 (in the first pair <21> the larger inter	MA07-26.1:2_807.txt	aca	path	ADJ	ing	no				ascend
1924	9	  space we will find some elements of those 	races	 (the individual winners and their relative t	20thM09-6.1_071a_A.txt	aca	manner	N	N	no	NA	NA		race
436	60	  below and above, that is in descending  and 	ascending	 [i.e., contrary motion of the voices].’8	EMH10-29_Maw_A.txt	aca	path	ADJ	ing	yes	translational	no		ascend
437	62	 . Further light is cast on  ‘by descending or 	ascending	 [progression]’ by what Jacques says at t	EMH10-29_Maw_A.txt	aca	path	ADJ	ing	yes	translational	no		ascend
438	48	  into [a perfect concord] . . . by  descending or 	ascending	 [progression]’. in the examples of the f	EMH10-29_Maw_A.txt	aca	path	ADJ	ing	yes	translational	no		ascend
1642	28	   roulade in sixteenths, but rather an artfully 	meandering	 11-tuplet, related to the duplet  eight	search08-3_Braus.txt	aca	manner	ADJ	ing	yes	Self-contained	no	but this has sth of FM	meander
623	5232	 dy mitigates Wolf’s self-lacerating quality. Then 	came	 24 songs from the secular collection about lo	TT785ih140910.txt	news	path	verb	past	no	NA	NA	programme schedule	come
1006	4020	  hour of ballet music is another thing entirely 	follow	 3334 followers By Mark Monahan (http://www.	TT17mm220911.txt	news	path	verb	imperative	no	NA	NA		follow
1698	32	  as quarter note)—they will experience a slow-	paced	 4:3 (four dotted half notes in-the-time-of-	MTO10_16.4_Locke.txt	aca	manner	ADJ	past_participle	yes	Self-contained	no	speed is motion	pace
2196	32	 risters, for example, could see their average pay 	tumble	 90 per cent to about $4,000 (£2,600), accor	IR41sf100112.txt	news	Manner + path	verb	infinitive	no	NA	NA		tumble
376	52	  melodic bb1 to arrive at 52. When it does 	arrive	 a beat later at 61, it almost sounds like 	JM04.txt	aca	path	verb	infinitive	yes	translational	yes		arrive
635	3370	 tensity, Ronald Samms's sly, bright Sporting Life 	came	 a close second. There can't be many 	IR364ap290810.txt	news	path	verb	past	no	NA	NA		come
1462	35	 e of Music Analysis, Anthony Pople lightheartedly 	floated	 a comparison between Allen Forte and Lawre	MA07-26.1:2_805.txt	aca	manner	verb	past	no	NA	NA	transitive	float
1053	3711	 nd concerto were demonstrably aristocratic. There 	followed	 a compelling exhibition of grand and thor	IR675es140611.txt	news	path	verb	past	no	NA	NA	programme schedule	follow
1044	3757	 l through recordings of Tchaikovsky's The Seasons 	followed	 a format which hasn't changed in 30 years	IR955mc100110.txt	news	path	verb	past	no	NA	NA		follow
1039	4359	  recital in this repeat appearance. At least, he 	followed	 a Haydn sonata — here, No. 34 of the comp	WP243am020511.txt	news	path	verb	past	no	NA	NA		follow
1112	4497	 will be performed individually or in small groups 	following	 a larger work. For now, though, Ms. Hahn	WSJ166dm261011.txt	news	path	verb	ing	no	NA	NA		follow
1496	70	  of this opera. The soprano is incapable of 	floating	 a line or phrase that isn't pure, 	CT70jvr030812.txt	news	manner	N	ing	no	NA	NA	transitive	float
1643	49	  opera mysteriously retains its longueurs in the 	meandering	 A Magic Flute. Two actors (William Nady	IR300ap270311.txt	news	manner	ADJ	ing	yes	Self-contained	no		meander
